Bedrijfsnaam,Website,Email,Telefoon,Adres,Sector,Land,ERP Score,Logistiek Score,Complexiteit Score,B2B Score,Groei Score,Email Geldig,Email Score,Email Reden,Omschrijving,Gevonden Op
Bressers Metaal B.V.,https://www.bressers.nl/,verkoop@bressers.nl,026-01-12 18,,Metaal & Staal,Nederland,56,30,0,18,8,Ja,85,mx_verified,"Bressers Metaal BV te Tilburg is een voorraadhoudende groothandel in staal met een breed assortiment walserijproducten, welke diverse bewerkingen kunnen ondergaan",2026-02-25T11:29:14.150Z
Galvano Metaal,https://www.galvano-metaal.nl/,binnendienst@galvano-metaal.nl,00 040-25 811,,Metaal & Staal,Nederland,73,30,25,10,8,Ja,85,mx_verified,Voor het breedste assortiment op het gebied van metaal shop je bij Galvano Metaal,2026-02-25T11:29:14.702Z
Metaalleverancier Matrho Metals,https://www.matrho-metals.nl/,verkoop@matrho-metals.nl,0492 380 280,,Metaal & Staal,Nederland,100,30,25,25,20,Ja,85,mx_verified,"Matrho Metals  Matrho Metals is uw groothandel en leverancier van ferro en non-ferro metalen, evenals speciale legeringen. Titanium – Gereedschap staal – Nikkel legeringen – Roestvast staal

 ",2026-02-25T11:29:14.714Z
Metaalgroothandel,https://www.metaalwinkelonline.nl/metaalgroothandel,rotterdaminfo@metaalwinkel.nl,010-414 83 81,,Metaal & Staal,Nederland,81,30,18,25,8,Ja,85,mx_verified,Bij Metaalwinkel Online bent u aan het juiste adres voor een uitgebreid assortiment metalen producten. Als uw betrouwbare metaalgroothandel bieden wij kwaliteitsmaterialen en uitstekende service. Ontd,2026-02-25T11:29:15.404Z
Vlietjonge Staalhandel,https://vlietjongestaalhandel.nl/,info@vlietjongestaalhandel.nl,,,Metaal & Staal,Nederland,55,21,10,10,14,Ja,70,generic_address,home,2026-02-25T11:29:20.489Z
Geertsema Staal,https://www.geertsema-staal.nl/,info@geertsema-staal.nl,0597-423344,,Metaal & Staal,Nederland,62,30,0,18,14,Ja,70,generic_address,"Service staat centraal bij ons staalbedrijf. Wij leveren alle kwaliteiten stalen, aluminium en rvs producten die u wenst - waar, wanneer en hoe u maar wilt.",2026-02-25T11:29:20.512Z
ODS B.V.,https://www.odsbv.nl/staal,info@odsbv.nlopen,+31 180 640 991,,Metaal & Staal,Nederland,93,30,25,18,20,Nee,20,dns_lookup_failed,"ODS B.V. is uw totaalleverancier in staal. Groot assortiment platen, 
profielen en stafmateriaal. Snelle levering en bewerking op maat door heel 
Nederland.",2026-02-25T11:29:20.832Z
Hoek Staalhandel,https://hoek-staalhandel.nl/staalleverancier-nederland,info@hoek-staalhandel.nlbezoek,+31187681492,,Metaal & Staal,Nederland,73,30,10,25,8,Nee,20,dns_lookup_failed,"Hoek Staalhandel is dé betrouwbare staalleverancier in Nederland. Hoogwaardige kwaliteit, snelle levering en een breed assortiment staal. Vraag direct een offerte aan!",2026-02-25T11:29:23.682Z
GOMA,https://www.goma.nl/,bijcontactinfo@goma.nl,0304 5551 18,,Metaal & Staal,Nederland,85,30,25,10,20,Ja,85,mx_verified,"Op zoek naar een complete oplossing voor plaatwerk? GOMA levert kwaliteit, snelheid én maatwerk. Ontdek wat wij voor u kunnen betekenen.",2026-02-25T11:29:28.229Z
Plaatwerk uitbesteden bij de specialist?,https://www.meeuwsen.nl/activiteiten/plaatwerk,laser@meeuwsen.nl,0620410175,,Metaal & Staal,Nederland,61,21,18,2,20,Ja,85,mx_verified,Plaatwerk op maat nodig? Grote voorraad metalen platen tot 12 meter lang. Altijd op maat gemaakt voor jouw project. Vraag direct een offerte aan.,2026-02-25T11:29:28.749Z
Vervoort Metaal,https://www.vervoortmetaal.nl/,info@vervoortmetaal.nl,,,Metaal & Staal,Nederland,68,21,25,2,20,Ja,70,generic_address,Vervoort Metaal is een toeleverancier van plaatwerk en licht constructiewerk. Door een brede kennis van onze vakmensen maken we producten van hoge kwaliteit,2026-02-25T11:29:28.865Z
Van Schijndel Metaal,https://vanschijndelmetaal.nl/plaatwerk/,info@vanschijndelmetaal.nl,+604800,,Metaal & Staal,Nederland,81,30,25,18,8,Ja,70,generic_address,Staal plaatwerk,2026-02-25T11:29:36.154Z
Noesen,https://noesen.be/,,025-12-01 09,,Metaal & Staal,België,65,30,25,2,8,Nee,0,no_email_found,"Noesen levert topkwaliteit vanuit een permanente voorraad van 2.500 ton West-Europees materiaal. U krijgt er een excellente service bij. Met vakkennis, een correcte opvolging en een glimlach. Hoogwaar",2026-02-25T11:29:40.507Z
Metalen Galler,https://metalengaller.be/,info@metalengaller.be,0002353426-,,Metaal & Staal,België,93,30,25,18,20,Ja,70,generic_address,"Metalen Galler levert staal, ijzerwaren en gespecialiseerde service aan B2B-klanten. Ontdek ons assortiment en onze expertise.",2026-02-25T11:29:41.511Z
Alles voor ijzersterk constructiewerk,https://www.faveere.be/,info@faveere.be,056 60 01 01,Adres FAVEERE nvJan Borluutstraat 178790 Waregem Tel. 056 60 01 01info@faveere.be BTW BE 0405 413 676,Metaal & Staal,België,60,30,0,10,20,Ja,70,generic_address,"Faveere is uw full-service metaalhandel in staal, inox en aluminium voor professionelen en particulieren. Grote voorraad, snelle levertijden en metaalbewerkingen op maat, al meer dan 100 jaar!",2026-02-25T11:29:41.527Z
Metaalhandel Belgie,https://www.mhb.be/,info@mhb.be,0 0 472.64 480,,Metaal & Staal,België,56,12,18,18,8,Ja,70,generic_address,Uw bedrijf voorop,2026-02-25T11:29:41.825Z
Staalhandel Vaesen,https://vaesenstaalhandel.be/,info@vaesenstaalhandel.be,011 61 19 52,,Metaal & Staal,België,65,30,25,2,8,Ja,70,generic_address,Staalhandel Vaesen NV is een groothandelaar die gemiddeld 1.000 ton staal op voorraad heeft liggen. we bieden ook stalen binnendeuren aan.,2026-02-25T11:29:42.261Z
metaalchristiaens.be,http://www.metaalchristiaens.be/,info@metaalchristiaens.be,09 377 56 33,,Metaal & Staal,België,50,30,10,2,8,Ja,70,generic_address,[av_section min_height='' min_height_pc='99' min_height_px='2000px' shadow='no-border-styling' bottom_border='no-border-styling',2026-02-25T11:29:43.555Z
Metalunion,https://metalunion.be/,info@metalunion.be,0400.045.618,,Metaal & Staal,België,87,30,25,18,14,Ja,70,generic_address,"Metalunion, sterk in staal sinds 1928. Dé totaalleverancier voor al uw gewenste staalproducten, in handelsformaten of CNC bewerkt op maat.",2026-02-25T11:29:43.809Z
Devos Plaatbewerkingen,http://www.devosplaatbewerking.be/,info@devosplaatbewerking.be,,"Vragen, of gewoon eens goeiedag komen zeggen: info@devosplaatbewerking.be +32 (0)51 61 11 18 Ruddervoordestraat 30, 8750 Zwevezele, Belgium",Metaal & Staal,België,57,21,18,10,8,Ja,70,generic_address,"Kwalitatieve metaalbewerking: lasersnijden, ponsen, plooien, lassen, .... Een familiebedrijf uitgegroeid tot KMO. Met alle mogelijke afwerkingen kunnen we stukwerk en seriewerk produceren tot afgewerk",2026-02-25T11:30:23.786Z
Plaatwerk op maat,https://www.tempac.be/toepassingen/plaatwerk,info@tempac.be,014 21 53 52,,Metaal & Staal,België,79,30,25,10,14,Ja,70,generic_address,"Onderdelen nodig voor machines of installaties? Tempac maakt metalen onderdelen op maat – snel, duurzaam en perfect volgens tekening.",2026-02-25T11:30:24.623Z
Vincar customized industrial parts,https://www.vincar.be/producten/plaatwerk,info@vincar.be,+32 474 58 58 33,,Metaal & Staal,België,81,30,25,18,8,Ja,70,generic_address,"Met 20 jaar ervaring en een sterke focus op kwaliteit en service, zijn we de ideale partner voor al je plaatwerk. Heb je een vraag of wens je advies? ",2026-02-25T11:30:25.189Z
Multinox,https://www.multinox.be/,info@multinox.bebe,0476.903.666,,Metaal & Staal,België,64,21,25,10,8,Nee,20,dns_lookup_failed,"Metaalbewerking & -verwerking op maat van de bovenste plank, daarvoor kan elke kmo terecht bij Multinox. Wij hebben jaren ervaring & een diepgaande kennis.",2026-02-25T11:30:25.732Z
Shapes Metalworks,https://www.shapesgroup.be/,info@shapesgroup.be,0785.841.540,,Metaal & Staal,België,100,30,25,25,20,Ja,70,generic_address,Shapes Group plaatbewerking - plooien - lasersnijden - ponsen - rollen - verspaning - draaien - frezen - lassen - poederlakken - natlakken - oppervlaktebehandeling ,2026-02-25T11:30:26.271Z
Slabinck High Tech Metal Works,https://www.slabinck.be/,sales@slabinck.be,025-12-01 09,,Metaal & Staal,België,93,30,25,18,20,Ja,70,generic_address,Ons metaalbedrijf beschikt over jaren aan ervaring in metaal- en plaatbewerking. Profiteer van deze ervaring in de productie van uw metaalproducten.,2026-02-25T11:30:28.369Z
Das Portal für den Stahlhandel. Anbieter DACH,https://www.stahlhandel.de/,,,,Metaal & Staal,Duitsland,66,30,18,10,8,Nee,0,no_email_found,"Firmen auf Stahlhandel. Hersteller, Händler und Dienstleister für Stahlhandel aus der D-A-CH-Region.",2026-02-25T11:30:32.304Z
WMH GROUP GERMANY - Westdeutscher Metall-Handel GmbH,https://www.wmh.de/,info@wmh.de,01 2019 300,Manderscheidtstraße 76 – 7845141 Essen,Metaal & Staal,Duitsland,80,30,25,25,0,Ja,70,generic_address,Der Aluminium Großhandel und Lieferant WMH GROUP GERMANY: ✓ Herausragende Lagerbestände ✓ Modernste Maschinen ✓ Sonderanfertigungen ✓ Internationale Standorte ✓ Weltweite Lieferung,2026-02-25T11:30:33.802Z
AM Altmetall,https://am-altmetall.de/?lang=nl,,025-11-30 09,,Metaal & Staal,Duitsland,74,30,18,18,8,Nee,0,no_email_found,Staal- en metaalrecycling voor industrie en handel. Efficiënte opslag en geavanceerde logistiek waarborgen tijdige levering en inzameling van uw oud metaal en schroot.,2026-02-25T11:30:34.458Z
Steel trade with a huge selection: International Metal Service,https://imetals.de/,duesseldorf@imetals-nord.de,057 1.4104 1.4,,Metaal & Staal,Duitsland,65,30,25,2,8,Ja,85,mx_verified,"Your steel trader with a huge selection, the best steel price and strong performance. Steel and metal from International Metal Service",2026-02-25T11:30:36.958Z
Kloeckner Metals Germany,https://shop.kloeckner.de/,,+49 211 8824 550,,Metaal & Staal,Duitsland,94,30,25,25,14,Nee,0,no_email_found,"Edelstahl-, Aluminium-, Gussbronze- und Stahlhandel. Einfach im Kloeckner Metals Onlineshop registrieren und direkt bestellen.",2026-02-25T11:30:40.849Z
European Staal,https://www.europeanstaal.de/,office.de@europeanstaal.eu,0 1 1 0 63.85 63.,,Metaal & Staal,Duitsland,79,30,25,10,14,Ja,85,mx_verified,,2026-02-25T11:30:43.529Z
Meba Steel GmbH,https://www.mebasteel.de/,info@mebasteel.de,+604800,,Metaal & Staal,Duitsland,78,30,18,10,20,Ja,70,generic_address,"22 Jahre Exzellenter Stahlservice - Hochwertige Produkte, Optimale Lieferbedingungen. Kundenzufriedenheit steht ohne Kompromisse im Mittelpunkt.",2026-02-25T11:30:49.885Z
Dachbleche24,https://www.dachbleche24.de/nl/,,0-2019-1024,,Metaal & Staal,Duitsland,94,30,25,25,14,Nee,0,no_email_found,Dachbleche 24 uw partner voor trapeziumvormig plaatwerk en plaatstaal. Bestel direct in onze winkel: www.dachbleche24-shop.de 0351 / 889613-0 info@dachbleche24.de,2026-02-25T11:30:55.044Z
Startpagina,https://ssw-westhoff.de/nl/,,0519091210,,Metaal & Staal,Duitsland,71,30,25,2,14,Nee,0,no_email_found,,2026-02-25T11:30:55.059Z
Aluminium Deutschland,https://www.aluminiumdeutschland.de/hersteller-datenbank/,information@alu-d.de,+604800,,Metaal & Staal,Duitsland,64,21,25,10,8,Ja,85,mx_verified,Herstellersuche nach Produkt    Herstellersuche nach Suchbegriff      Kontaktliste Hersteller als PDF,2026-02-25T11:30:57.960Z
Conrad Electronic » All parts of success,https://www.conrad.nl/,,,,Elektronica Groothandel,Nederland,79,30,10,25,14,Nee,0,no_email_found,"Conrad Electronic: Uw eerste keus voor techniek & elektronica ✓ 1,9+ mln. artikelen, 3500+ merken & uitstekende service ✓ Vinden, selecteren & veilig bestellen.",2026-02-25T11:31:01.918Z
Oosterberg,https://www.oosterberg.nl/,,,,Elektronica Groothandel,Nederland,93,30,18,25,20,Nee,0,no_email_found,"Koninklijke Oosterberg is een succesvolle en snel groeiende, ISO-gecertificeerde elektrotechnische groothandel met bijna 400 medewerkers en 21 vestigingen verspreid over heel Nederland; een hoofdkanto",2026-02-25T11:31:02.523Z
Elektramat,https://www.elektramat.nl/,klantenservice@elektramat.nl,004181783,,Elektronica Groothandel,Nederland,93,30,18,25,20,Ja,85,mx_verified,Elektramat is dé elektrotechnische groothandel voor professional en particulier ✔ 250.000+ producten ✔ Snelle levering ✔ Top service ✔ Veilig betalen,2026-02-25T11:31:03.162Z
GWSelektro.nl,https://gwselektro.nl/,info@gwselektro.nl,,,Elektronica Groothandel,Nederland,81,30,18,25,8,Ja,70,generic_address,"Ontdek het brede assortiment van Gewiss producten bij GWS Elektro, dé groothandel voor particulieren en professionals in Nederland. Kwaliteit en service staan voorop - GWSelektro.nl",2026-02-25T11:31:03.767Z
TEG,https://teg-bv.nl/,info@teg-bv.nl,026-02-25 11,AdresHet Lentfert 84 7547 SP EnschedeNederland Telefoon+31 (0)53 - 43 00 560 E-mailinfo@teg-bv.nl Btw-nummerNL805975275B01 KVK06055096,Elektronica Groothandel,Nederland,73,30,25,18,0,Ja,70,generic_address,"Twentse Elektronica Groothandel is dé importeur bij uitstek voor al uw elektronica behoeftes. We zijn gespecialiseerd in de levering aan:

- Industrie
- Assemblage en productie bedrijven
- ICT bedrijv",2026-02-25T11:31:04.864Z
Sinuss,https://sinuss.nl/,info@sinuss.nl,0592330030,,Elektronica Groothandel,Nederland,79,30,25,10,14,Ja,70,generic_address,Dé elektronica specialist met 900.000+ componenten. Van sensoren tot halfgeleiders. Uniek: Géén minimale orderwaarde. Snel geleverd in NL & BE. Bestel direct!,2026-02-25T11:31:11.385Z
Opencircuit,https://opencircuit.nl/,info@opencircuit.nl,+31 850014013,,Elektronica Groothandel,Nederland,60,30,0,10,20,Ja,70,generic_address,"Ons steeds groeiende assortiment bestaat uit: elektronische componenten, arduino, CNC & 3D printer toebehoren, drones, led strips en nog veel meer. Wij onderscheiden ons met betaalbare producten, uits",2026-02-25T11:31:11.519Z
Elektrotechnische groothandel Bliek,https://etg-bliek.nl/,info@etg-bliek.nl,,,Elektronica Groothandel,Nederland,94,30,25,25,14,Ja,70,generic_address,"Vergroot je kennis door onze kennisbank. Praktische tips, technische informatie en advies voor installateurs. Bliek verbindt door kennis!",2026-02-25T11:31:16.642Z
YESSS NL -,https://www.yesss.nl/,,+604800,,Elektronica Groothandel,Nederland,78,30,18,10,20,Nee,0,no_email_found,Wij zijn een elektrotechnische groothandel met 13 vestigingen in Nederland en meer dan 450 filialen in Europa. Dé groothandel voor al uw installatiematerialen!,2026-02-25T11:31:16.883Z
Alelek Groep,https://www.groepalelek.be/,info@groepalelek.be,0879673106,,Elektronica Groothandel,België,71,21,25,25,0,Ja,70,generic_address,"GROEP Alelek is een elektrogroothandel met 9 vestigingen verspreid over het land. Het uitgebreide gamma, de grote voorraad en een performante distributie maken van GROEP Alelek een zeer betrouwbare pa",2026-02-25T11:31:27.401Z
2xDIGIT.be,https://www.2xdigit.be/,info@2xdigit.be,0843366993,,Elektronica Groothandel,België,73,30,18,25,0,Ja,70,generic_address,"Groothandel in consumentenelektronica (tv,huishoudtoestellen,klein elektro,...) van Samsung, LG, Sony, Bosch, Siemens, Philips.",2026-02-25T11:31:27.950Z
ELGB,https://elgb.be/,brugge@elgb.be,010 050 33 34,,Elektronica Groothandel,België,73,30,25,18,0,Ja,85,mx_verified,EL.G.B. is een elektro groothandel voor elektrische installatiematerialen en artikelen voor zowel professionals als particulieren. Bekijk ons aanbod!,2026-02-25T11:31:28.030Z
Elektramat,https://www.elektramat.be/,,01326486 10,,Elektronica Groothandel,België,88,30,25,25,8,Nee,0,no_email_found,Elektramat is dé groothandel in elektrotechnisch installatiemateriaal voor particulieren en professionals ✔ 400.000+ producten ✔ Snelle levering ✔ Top service,2026-02-25T11:31:29.610Z
NL,https://www.gotron.be/,info@gotron.be,053 78 30 83,,Elektronica Groothandel,België,73,30,18,25,0,Ja,70,generic_address,Reeds meer dan 30 jaar uw elektronica-specialist met technische dienstverlening vanuit 3 winkels in België. Meer dan 25.000 onderdelen in voorraad. ,2026-02-25T11:31:35.133Z
Conrad Electronic » All parts of success,https://www.conrad.be/,,,,Elektronica Groothandel,België,79,30,10,25,14,Nee,0,no_email_found,"Conrad Electronic: Uw eerste keus voor techniek & elektronica ✓ 1+ mln. artikelen, 3500+ merken & uitstekende service ✓ Vinden, selecteren & veilig bestellen.",2026-02-25T11:31:35.342Z
Opencircuit,https://opencircuit.be/,info@opencircuit.nl,0979977998,,Elektronica Groothandel,België,60,30,0,10,20,Ja,70,generic_address,"Ons steeds groeiende assortiment bestaat uit: elektronische componenten, arduino, CNC & 3D printer toebehoren, drones, led strips en nog veel meer. Wij onderscheiden ons met betaalbare producten, uits",2026-02-25T11:31:35.403Z
Master Chips,https://masterchips.be/nl/,info@masterchips.be,056 22 36 73,,Elektronica Groothandel,België,52,12,10,10,20,Ja,70,generic_address,Winkel gerund met behulp van PrestaShop,2026-02-25T11:31:36.290Z
Sinuss,https://www.sinuss.be/,info@sinuss.nl,0592330030,,Elektronica Groothandel,België,79,30,25,10,14,Ja,70,generic_address,Dé elektronica specialist met 900.000+ componenten. Van sensoren tot halfgeleiders. Uniek: Géén minimale orderwaarde. Snel geleverd in NL & BE. Bestel direct!,2026-02-25T11:31:37.135Z
MEC Merksem. electronica componenten,https://www.mecshop.be/componenten,info@mecmerksem.be,04.65.05.01.21,,Elektronica Groothandel,België,50,30,10,10,0,Ja,70,generic_address,alle ic's pic's triacs mosfets en diodes kan u bij ons bekomen. alle startcondenasatoren op stock,2026-02-25T11:31:38.160Z
Govaerts Elektro ,https://www.groothandelelektro.be/,info@govaerts.be,03 233 06 43,,Elektronica Groothandel,België,94,30,25,25,14,Ja,70,generic_address,Govaerts is dé groothandel in elektro in Antwerpen en nu ook in Kapellen! Bij ons vindt u al uw elektrische benodigdheden. Contacteer ons!,2026-02-25T11:31:42.912Z
Kabelpro,https://www.kabelpro.be/,,+31 85 303 74 29,,Elektronica Groothandel,België,80,30,25,25,0,Nee,0,no_email_found,"Kabelpro is dé elektro groothandel voor vakman, handel en industrie. Bestel kabel, draad en alle toebehoren ✓ Snel geleverd in heel België ✓ Scherpe prijzen",2026-02-25T11:31:48.830Z
EFG-GRUPPE,https://www.efg-gruppe.de/,,,,Elektronica Groothandel,Duitsland,61,12,10,25,14,Nee,0,no_email_found,Innovative Produkte und echte Expertise zeichnen die EFG-GRUPPE aus und machen sie einem zuverlässigen sowie kompetenten Partner in der Elektro-Branche.,2026-02-25T11:31:52.713Z
Sintron Electronics Wholesale,https://sintron.de/en/firma.php,info@sintron.de,,Address Südring Sintron Distribution GmbH Südring 14 DE 76473 Iffezheim,Elektronica Groothandel,Duitsland,58,30,10,18,0,Ja,70,generic_address,Since 1994 the company Sintron Distribution GmbH has been working as an electronics wholesaler with a strict loyalty to specialist dealers in Germany.,2026-02-25T11:31:53.089Z
Expert Guides for Expats in Germany,https://liveingermany.de/electronic-stores-in-germany/,,026-02-06 00,,Elektronica Groothandel,Duitsland,66,30,18,10,8,Nee,0,no_email_found,"Find the latest tech at electronic stores in Germany. From gadgets to appliances, explore top brands including refurbish gadgets",2026-02-25T11:31:53.201Z
https://www.ett-online.de/,https://www.ett-online.de/,service@ett-online.de,0531 58 11 00,,Elektronica Groothandel,Duitsland,88,30,25,25,8,Ja,70,generic_address,Über 4.000 Produkte - am gleichen Tag versendet - Sichere Zahlung - Staffelpreise bei Mengenabnahmen,2026-02-25T11:31:53.619Z
Manolya Electronics,https://manolya.de/,info@manolya.de,083026995,,Elektronica Groothandel,Duitsland,73,30,18,25,0,Ja,70,generic_address,Sie suchen einen Elektrogroßhandel? Wir bieten Ihnen die meistgesuchten Elektrogeräte zu europäischen Bestpreisen an. Senden Sie uns Ihre Anfrage!,2026-02-25T11:31:55.745Z
Händler für elektronische Komponenten,https://www.components-store.de/,info@components-store.com,0.936500-069,,Elektronica Groothandel,Duitsland,58,30,10,10,8,Ja,70,generic_address,"Components-Store.com ist ein branchenführender Distributor elektronischer Komponenten für integrierte Schaltungen (ICs): Mikrocontroller, Speicher, Logik, Linear, Schnittstelle, PMIC, Embedded - CPLDs",2026-02-25T11:31:59.949Z
"EVN Electronic Components GmbH | Distributor - Degson, Mentor, Kingbright, Diptronics, Conec, ept, B",https://evn-components.de/home-en/,info@evn-components.de,026-02-20 12,,Elektronica Groothandel,Duitsland,50,30,10,2,8,Ja,70,generic_address,,2026-02-25T11:32:01.235Z
Components at Service GmbH,https://www.components-service.de/,info@components-service.com,,,Elektronica Groothandel,Duitsland,56,30,10,2,14,Ja,70,generic_address,"Components at Service st ein international operierender unabhängiger Distributor, spezialisiert auf alle Arten von elektronischen Bauelementen und Zubehör.",2026-02-25T11:32:04.515Z
Elektron Berlin,https://elektron-berlin.de/nl/,205kontakt@elektron-berlin.de,025-01-14 19,,Elektronica Groothandel,Duitsland,74,30,18,18,8,Ja,85,mx_verified,Elektron Berlin GmbH: Kabels ✓ Kabelhaspels ✓ Armaturen ✓ PRCD-S ✓ Connectoren ✓ Distributeurs ✓ Gereedschappen ✓,2026-02-25T11:32:05.247Z
Over ons,https://www.hensel-electric.de/nl-nl/unternehmen/,720info@hensel-nederland.nlcontactformulierfollow,0121095522,,Elektronica Groothandel,Duitsland,55,21,18,2,14,Nee,20,dns_lookup_failed,,2026-02-25T11:32:11.180Z
